MT5-Base QLORA finetuning with SIB200 Dataset
Pearson correlation: 0.151, p-value: 0.564
Spearman correlation: -0.104, p-value: 0.692
language  accuracy  subword_fertility
      ar    0.4040             1.2757
      bg    0.8081             1.7526
      de    0.8990             1.5505
      el    0.8889             2.0415
      en    0.8889             1.3420
      es    0.8586             1.4811
      fr    0.8687             1.5540
      hi    0.8182             1.9197
      ja    0.8990             0.8953
      ko    0.8586             2.3835
      ru    0.8586             1.8256
      sw    0.7677             1.9750
      th    0.8182             1.2697
      tr    0.8182             1.8193
      ur    0.7576             1.7160
      vi    0.8485             2.5930
      zh    0.8283             1.1850
