Mt5 Base QLORA finetuning with XNLI Dataset
Pearson correlation: -0.260, p-value: 0.349
Spearman correlation: -0.279, p-value: 0.315
language  accuracy  subword_fertility
      ar    0.6526             1.7284
      bg    0.6992             1.8097
      de    0.7064             1.5739
      el    0.6904             2.0579
      en    0.7699             1.4476
      es    0.7205             1.5743
      fr    0.7253             1.6450
      hi    0.6301             1.7981
      ru    0.6900             1.8646
      sw    0.6084             1.7565
      th    0.6518             1.7236
      tr    0.6498             1.7797
      ur    0.6064             1.5867
      vi    0.6542             2.4769
      zh    0.6711             2.4025
